0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.36,0.66,0.63,0.53,0.22,0.29,0.58,0.63,0.25,0.65,0.43,0.41,0.45,0.24,0.21,0.0,0.43,0.39,0.35,0.38,0.34,0.49,0.67,0.52,0.39,0.39,0.23,0.63,0.68,0.64,0.49,0.46,0.47,0.5,0.29,0.5,0.33,0.48,0.68,0.38,0.21,0.45,0.44,0.4,0.32,0.22,0.41,0.3,0.52,0.31
0.2,0.38,0.63,0.61,0.31,0.29,0.43,0.38,0.42,0.24,0.21,0.51,0.8,0.18,0.42,0.14,0.0,0.24,0.27,0.27,0.23,0.21,0.4,0.26,0.26,0.18,0.24,0.18,0.46,0.22,0.39,0.43,0.47,0.26,0.15,0.55,0.71,0.56,0.2,0.38,0.21,0.32,0.31,0.47,0.5,0.33,0.3,0.43,0.28,0.23
0.1,0.51,0.38,0.29,0.24,0.3,0.2,0.23,0.36,0.27,0.25,0.34,0.75,0.25,0.19,0.21,0.24,0.0,0.3,0.3,0.21,0.16,0.26,0.29,0.29,0.13,0.07,0.19,0.19,0.33,0.18,0.28,0.36,0.26,0.37,0.21,0.37,0.39,0.31,0.17,0.31,0.27,0.47,0.3,0.32,0.24,0.31,0.65,0.29,0.44
0.56,0.42,0.58,0.82,0.41,0.43,0.57,0.35,0.76,0.43,0.57,0.5,0.85,0.56,0.53,0.41,0.37,0.69,0.0,0.6,0.47,0.56,0.6,0.37,0.56,0.49,0.57,0.31,0.51,0.7,0.3,0.75,0.79,0.52,0.66,0.48,0.36,0.41,0.63,0.42,0.61,0.69,0.8,0.39,0.24,0.45,0.92,0.78,0.59,0.79
0.15,0.39,0.31,0.26,0.19,0.19,0.18,0.3,0.21,0.24,0.29,0.43,0.56,0.26,0.19,0.16,0.23,0.31,0.1,0.0,0.21,0.17,0.41,0.51,0.2,0.31,0.4,0.17,0.21,0.26,0.17,0.36,0.22,0.18,0.26,0.25,0.33,0.27,0.32,0.22,0.25,0.26,0.31,0.26,0.46,0.45,0.48,0.32,0.36,0.16
0.2,0.34,0.53,0.39,0.23,0.31,0.32,0.31,0.38,0.18,0.4,0.77,0.7,0.19,0.43,0.25,0.58,0.3,0.25,0.65,0.0,0.26,0.34,0.68,0.29,0.28,0.3,0.4,0.53,0.32,0.23,0.38,0.66,0.31,0.47,0.58,0.64,0.4,0.25,0.38,0.29,0.68,0.39,0.22,0.38,0.34,0.45,0.7,0.37,0.34
0.31,0.24,0.65,0.7,0.52,0.52,0.23,0.4,0.2,0.56,0.25,0.44,0.69,0.19,0.27,0.28,0.39,0.4,0.08,0.3,0.21,0.0,0.55,0.44,0.21,0.22,0.27,0.34,0.23,0.55,0.19,0.51,0.27,0.33,0.62,0.28,0.33,0.33,0.26,0.59,0.45,0.7,0.49,0.58,0.62,0.3,0.45,0.3,0.46,0.36
0.25,0.31,0.43,0.72,0.39,0.5,0.17,0.5,0.43,0.34,0.18,0.64,0.68,0.15,0.18,0.33,0.47,0.31,0.4,0.58,0.35,0.45,0.0,0.56,0.19,0.48,0.37,0.37,0.42,0.57,0.25,0.58,0.52,0.38,0.19,0.53,0.34,0.57,0.29,0.63,0.25,0.47,0.47,0.21,0.23,0.22,0.49,0.3,0.34,0.28
0.2,0.39,0.42,0.32,0.36,0.25,0.31,0.22,0.51,0.29,0.17,0.35,0.72,0.08,0.35,0.13,0.27,0.33,0.2,0.49,0.32,0.28,0.44,0.0,0.29,0.41,0.32,0.18,0.26,0.43,0.19,0.14,0.25,0.15,0.07,0.61,0.32,0.3,0.22,0.45,0.33,0.58,0.35,0.22,0.51,0.5,0.71,0.32,0.68,0.4
0.21,0.24,0.42,0.46,0.28,0.28,0.51,0.31,0.51,0.36,0.25,0.69,0.42,0.19,0.57,0.45,0.35,0.37,0.43,0.3,0.31,0.21,0.26,0.64,0.0,0.32,0.3,0.35,0.46,0.34,0.38,0.4,0.32,0.34,0.2,0.67,0.39,0.41,0.36,0.47,0.5,0.44,0.4,0.39,0.54,0.3,0.68,0.28,0.35,0.4
0.19,0.39,0.43,0.8,0.55,0.52,0.27,0.51,0.41,0.33,0.34,0.88,0.77,0.32,0.43,0.36,0.44,0.57,0.2,0.41,0.42,0.52,0.52,0.59,0.38,0.0,0.53,0.12,0.55,0.52,0.38,0.42,0.53,0.6,0.35,0.63,0.37,0.55,0.34,0.63,0.27,0.27,0.6,0.46,0.39,0.36,0.58,0.58,0.38,0.66
0.25,0.33,0.51,0.43,0.42,0.71,0.42,0.4,0.49,0.62,0.66,0.39,0.86,0.47,0.45,0.24,0.47,0.43,0.43,0.59,0.44,0.23,0.62,0.65,0.46,0.43,0.0,0.26,0.26,0.51,0.25,0.4,0.35,0.44,0.23,0.37,0.35,0.59,0.32,0.39,0.34,0.36,0.76,0.38,0.39,0.39,0.69,0.59,0.41,0.63
